# Every HKEX-listed equity + REIT (HKD counters), from HKEX's List of Securities.
0001.HK  # CKH HOLDINGS
0002.HK  # CLP HOLDINGS
0003.HK  # HK & CHINA GAS
0004.HK  # WHARF HOLDINGS
0005.HK  # HSBC HOLDINGS
0006.HK  # POWER ASSETS
0008.HK  # PCCW
0010.HK  # HANG LUNG GROUP
0012.HK  # HENDERSON LAND
0013.HK  # HUTCHMED
0014.HK  # HYSAN DEV
0016.HK  # SHK PPT
0017.HK  # NEW WORLD DEV
0018.HK  # ORIENTAL M G
0019.HK  # SWIRE PACIFIC A
0020.HK  # SENSETIME-W
0021.HK  # GREAT CHI HLDGS
0022.HK  # MEXAN
0023.HK  # BANK OF E ASIA
0025.HK  # CHEVALIER INT'L
0026.HK  # CHINA MOTOR BUS
0027.HK  # GALAXY ENT
0028.HK  # TIAN AN
0029.HK  # DYNAMIC HOLD
0030.HK  # YNBY INTL
0031.HK  # CHINA AEROSPACE
0032.HK  # CROSS-HAR(HOLD)
0033.HK  # INTL GENIUS
0034.HK  # KOWLOON DEV
0035.HK  # FE CONSORT INTL
0036.HK  # FE HLDGS INTL
0037.HK  # FE HOTELS
0038.HK  # FIRST TRACTOR
0039.HK  # CH BEIDAHUANG
0040.HK  # GOLD PEAK
0041.HK  # GREAT EAGLE H
0042.HK  # NE ELECTRIC
0045.HK  # HK&S HOTELS
0046.HK  # COMPUTER & TECH
0048.HK  # C AUTO INT DECO
0050.HK  # HK FERRY (HOLD)
0051.HK  # HARBOUR CENTRE
0052.HK  # FAIRWOOD HOLD
0053.HK  # GUOCO GROUP
0055.HK  # NEWAY GROUP
0057.HK  # CHEN HSONG HOLD
0058.HK  # SUNWAY INT'L
0059.HK  # SKYFAME REALTY
0060.HK  # HK FOOD INV
0061.HK  # GREEN LEADER
0062.HK  # TRANSPORT INT'L
0063.HK  # CHI ASIA VALLEY
0064.HK  # GET NICE
0065.HK  # GRAND OCEAN AR
0066.HK  # MTR CORPORATION
0068.HK  # MANYCORE TECH
0069.HK  # SHANGRI-LA ASIA
0070.HK  # RICH GOLDMAN
0071.HK  # MIRAMAR HOTEL
0072.HK  # META MEDIA
0073.HK  # ASIAN CITRUS
0075.HK  # Y.T. REALTY
0076.HK  # ELATE HOLDINGS
0077.HK  # AMS TRANSPORT
0078.HK  # REGAL INT'L
0079.HK  # CENTURY LEGEND
0080.HK  # CAI CORP
0081.HK  # CH OVS G OCEANS
0082.HK  # CRAZY SPORTS
0083.HK  # SINO LAND
0084.HK  # STELUX HOLDINGS
0085.HK  # CE HUADA TECH
0086.HK  # SUN HUNG KAI CO
0087.HK  # SWIRE PACIFIC B
0088.HK  # TAI CHEUNG HOLD
0089.HK  # TAI SANG LAND
0090.HK  # PUXING ENERGY
0092.HK  # CHAMPION TECH
0093.HK  # ZERO FINTECH
0094.HK  # GREENHEART GP
0095.HK  # LVGEM CHINA
0096.HK  # YUSEI
0097.HK  # HENDERSON INV
0098.HK  # XINGFA ALUM
0099.HK  # WONG'S INT'L
0100.HK  # MINIMAX-W
0101.HK  # HANG LUNG PPT
0103.HK  # SHOUGANG CENT
0104.HK  # ASIA COMM HOLD
0105.HK  # ASSO INT HOTELS
0106.HK  # LANDSEA MGMT
0107.HK  # SICHUAN EXPRESS
0108.HK  # SR MEDICAL
0110.HK  # CHINA FORTUNE
0111.HK  # CINDA INTL HLDG
0113.HK  # DICKSON CONCEPT
0114.HK  # HERALD HOLD
0115.HK  # GRAND FIELD GP
0116.HK  # CHOW SANG SANG
0117.HK  # TIANLI HOLDINGS
0118.HK  # COSMOS MACH
0119.HK  # POLY PROPERTY
0120.HK  # COSMOPOL INT'L
0122.HK  # CROCODILE
0123.HK  # YUEXIU PROPERTY
0124.HK  # GD LAND
0125.HK  # SUN HING VISION
0126.HK  # CARRIANNA
0127.HK  # CHINESE EST H
0128.HK  # ENM HOLDINGS
0129.HK  # ASIA STANDARD
0130.HK  # MOISELLE INT'L
0131.HK  # CHEUK NANG HOLD
0132.HK  # HING YIP HLDGS
0133.HK  # CHINA MERCHANTS
0135.HK  # KUNLUN ENERGY
0136.HK  # CHINA RUYI
0137.HK  # JINHUI HOLDINGS
0138.HK  # CCT FORTIS
0139.HK  # SMART FISH
0142.HK  # FIRST PACIFIC
0144.HK  # CHINA MER PORT
0145.HK  # CCIAM FUTURE EN
0146.HK  # TAI PING CARPET
0147.HK  # IB SETTLEMENT
0148.HK  # KINGBOARD HLDG
0149.HK  # CH AGRI-PROD EX
0150.HK  # HYPEBEAST
0151.HK  # WANT WANT CHINA
0152.HK  # SHENZHEN INT'L
0154.HK  # BE ENVIRONMENT
0156.HK  # LIPPO CHINA RES
0157.HK  # NATURAL BEAUTY
0158.HK  # MELBOURNE ENT
0159.HK  # BROCKMAN MINING
0160.HK  # HON KWOK LAND
0162.HK  # CENTURY GINWA
0163.HK  # EMPEROR INT'L
0164.HK  # CHINA BAOLI TEC
0165.HK  # CHINA EB LTD
0166.HK  # NEW TIMES CORP
0167.HK  # IDT INT'L
0168.HK  # TSINGTAO BR-500
0169.HK  # WANDA HOTEL DEV
0171.HK  # SILVER GRANT
0173.HK  # K. WAH INT'L
0174.HK  # GEMINI INV
0175.HK  # GEELY AUTO
0176.HK  # SUPERACTIVE GP
0177.HK  # JIANGSU EXPRESS
0178.HK  # SA SA INT'L
0179.HK  # JOHNSON ELEC H
0180.HK  # KADER HOLDINGS
0181.HK  # FUJIAN HOLDINGS
0182.HK  # CONCORD NE
0183.HK  # WINFULL GP
0184.HK  # KECK SENG INV
0185.HK  # ZENSUN ENT
0186.HK  # NIMBLE HOLDINGS
0187.HK  # JINGCHENG MAC
0188.HK  # SUNWAH KINGSWAY
0189.HK  # DONGYUE GROUP
0191.HK  # LAI SUN INT'L
0193.HK  # CAPITAL ESTATE
0194.HK  # LIU CHONG HING
0196.HK  # HONGHUA GROUP
0197.HK  # HENG TAI
0199.HK  # ITC PROPERTIES
0200.HK  # MELCO INT'L DEV
0201.HK  # MAGNIFICENT
0202.HK  # EVERCHINA INT'L
0204.HK  # CAPITAL REALM
0205.HK  # BFB HEALTH
0206.HK  # CM-ENERGY
0209.HK  # POLY XVERSE IT
0210.HK  # DAPHNE INT'L
0211.HK  # STYLAND HOLD
0212.HK  # NANYANG HOLD
0213.HK  # NATIONAL ELEC H
0214.HK  # ASIA ORIENT
0215.HK  # HUTCHTEL HK
0216.HK  # CHINNEY INV
0217.HK  # CHINA CHENGTONG
0218.HK  # SWHYHK
0219.HK  # SHUNHO PROPERTY
0220.HK  # U-PRESID CHINA
0222.HK  # MIN XIN HOLD
0223.HK  # ELIFE HLDGS
0224.HK  # PIONEER GLOBAL
0225.HK  # POKFULAM
0227.HK  # FIRST SHANGHAI
0228.HK  # CHINA ENERGY
0229.HK  # RAYMOND IND
0232.HK  # CON AERO TECH
0234.HK  # NEW CENTURY GP
0235.HK  # CSC HOLDINGS
0236.HK  # SAN MIGUEL HK
0237.HK  # SAFETY GODOWN
0239.HK  # PAK FAH YEOW
0240.HK  # BUILD KING HOLD
0241.HK  # ALI HEALTH
0242.HK  # SHUN TAK HOLD
0243.HK  # QPL INT'L
0244.HK  # SINCERE
0245.HK  # CHINA VERED FIN
0247.HK  # TST PROPERTIES
0248.HK  # HKC INT'L HOLD
0251.HK  # SEA HOLDINGS
0252.HK  # SE ASIA PPT
0253.HK  # SHUNHO HOLDINGS
0254.HK  # NUR HOLDINGS
0255.HK  # LUNG KEE
0256.HK  # CITYCHAMP
0257.HK  # EB ENVIRONMENT
0258.HK  # TOMSON GROUP
0259.HK  # YEEBO (INT'L H)
0261.HK  # GBA HOLDINGS
0262.HK  # DESON DEV INT'L
0264.HK  # CN INT DEV CORP
0265.HK  # GANGYU SERVICES
0266.HK  # TIAN TECK LAND
0267.HK  # CITIC
0268.HK  # KINGDEE INT'L
0269.HK  # CRTG
0270.HK  # GUANGDONG INV
0271.HK  # ASIASEC PPT
0272.HK  # SHUI ON LAND
0274.HK  # RA SILK ROAD
0276.HK  # MONGOLIA ENERGY
0277.HK  # TERN PROPERTIES
0279.HK  # ARTA TECHFIN
0280.HK  # KING FOOK HOLD
0285.HK  # BYD ELECTRONIC
0286.HK  # AIDIGONG
0287.HK  # WINFAIR INV
0288.HK  # WH GROUP
0289.HK  # WING ON CO
0290.HK  # GOFINTECH QUANT
0291.HK  # CHINA RES BEER
0293.HK  # CATHAY PAC AIR
0294.HK  # YANGTZEKIANG
0295.HK  # KONG SUN HOLD
0296.HK  # EMPEROR E HOTEL
0297.HK  # SINOFERT
0298.HK  # CHUANG'S CHINA
0299.HK  # GLORY SUN LAND
0300.HK  # MIDEA GROUP
0301.HK  # SANVO CHEMICALS
0302.HK  # CMGE
0303.HK  # VTECH HOLDINGS
0305.HK  # WULING MOTORS
0306.HK  # KWOON CHUNG BUS
0308.HK  # CHINA TRAVEL HK
0309.HK  # XH NEWS MEDIA
0310.HK  # PROSP INV HOLD
0311.HK  # LUEN THAI
0312.HK  # SHIRBLE STORE
0313.HK  # RICHLY FIELD
0314.HK  # SIPAI HEALTH
0315.HK  # SMARTONE TELE
0316.HK  # OOIL
0317.HK  # COMEC
0318.HK  # VONGROUP
0320.HK  # CTGL
0321.HK  # TEXWINCA HOLD
0322.HK  # TINGYI
0323.HK  # MAANSHAN IRON
0325.HK  # BLOKS
0326.HK  # CHINA STAR ENT
0327.HK  # PAX GLOBAL
0328.HK  # ALCO HOLDINGS
0329.HK  # OCI INTL
0330.HK  # ESPRIT HOLDINGS
0331.HK  # FSE LIFESTYLE
0332.HK  # YUANHENG GAS
0333.HK  # TOP FORM INT'L
0334.HK  # CH DISPLAY OPT
0335.HK  # UPBEST GROUP
0336.HK  # HUABAO INTL
0337.HK  # GREENLAND HK
0338.HK  # SHANGHAI PECHEM
0339.HK  # WEBX HOLDING
0340.HK  # TONGGUAN GOLD
0341.HK  # CAFE DE CORAL H
0343.HK  # CULTURECOM HOLD
0345.HK  # VITASOY INT'L
0346.HK  # YANCHANG PETRO
0347.HK  # ANGANG STEEL
0348.HK  # CHINAHEALTHWISE
0351.HK  # ASIA ENERGY LOG
0352.HK  # FORTUNE SUN
0353.HK  # ENERGY INTINV
0354.HK  # CHINASOFT INT'L
